Anonymized ID	AGE_04
A00060280	17.032876712329
A00053744	17.041095890411
A00031881	17.043835616438
A00061715	17.068493150685
A00039943	17.101369863014
A00031219	17.249315068493
A00060472	17.276712328766997
A00034074	17.347945205479
A00052614	17.386301369863
A00027439	17.386301369863
A00056453	17.408219178082
A00062983	17.498630136986
A00065934	17.515068493151
A00061298	17.567123287671002
A00035940	17.569863013699
A00064416	17.591780821918
A00044084	17.739726027397
A00063383	17.758904109589
A00058685	17.772602739726
A00066584	17.802739726027
A00052237	17.942465753425
A00065197	18.128767123288
A00044171	18.153424657534
A00059990	18.276712328766997
A00035377	18.306849315068
A00052183	18.350684931507
A00051603	18.356164383562
A00051063	18.361643835616
A00033231	18.38904109589
A00031216	18.46301369863
A00039159	18.493150684932
A00030913	18.495890410959
A00040827	18.498630136986
A00038159	18.542465753425
A00060628	18.561643835616
A00031145	18.567123287671002
A00037123	18.575342465753
A00050848	18.583561643836
A00051726	18.608219178082
A00037387	18.608219178082
A00038158	18.67397260274
A00033180	18.704109589041
A00052197	18.715068493150998
A00040800	18.720547945205
A00037160	18.745205479452
A00033714	18.764383561644
A00031217	18.8
A00053546	18.81095890411
A00051658	18.904109589041
A00051638	18.942465753425
A00052502	18.950684931507002
A00028844	19.021917808218998
A00061881	19.158904109589
A00038285	19.18904109589
A00037877	19.246575342466
A00044012	19.260273972603
A00029303	19.315068493151
A00060629	19.334246575342
A00063450	19.33698630137
A00038832	19.432876712328998
A00051064	19.487671232877
A00040543	19.753424657534
A00028766	19.865753424658
A00043466	20.01095890411
A00029979	20.153424657534
A00061727	20.18904109589
A00031459	20.276712328766997
A00032007	20.317808219177998
A00053576	20.367123287671
A00040628	20.556164383562
A00038605	20.605479452055
A00029092	20.635616438356
A00053474	20.646575342466
A00054173	20.690410958904
A00028656	20.772602739726
A00037476	20.857534246575
A00028429	20.893150684932
A00029076	20.92602739726
A00057005	21.084931506849
A00040915	21.120547945205
A00058621	21.12602739726
A00057406	21.128767123288
A00035960	21.139726027397
A00038213	21.150684931507
A00059527	21.158904109589
A00035926	21.167123287671
A00033640	21.219178082192
A00034854	21.282191780822
A00028287	21.290410958903998
A00038718	21.306849315068
A00031166	21.356164383562
A00066153	21.356164383562
A00044307	21.443835616438
A00054533	21.479452054794997
A00039686	21.542465753425002
A00043462	21.542465753425002
A00037531	21.602739726027004
A00051477	21.630136986300997
A00057235	21.66301369863
A00053578	21.668493150685002
A00057182	21.679452054794996
A00033248	21.682191780822002
A00051514	21.780821917807998
A00043384	21.78904109589
A00054534	21.882191780822
A00058999	21.904109589041
A00038731	21.906849315068
A00057203	21.969863013699
A00033247	22.032876712329003
A00028606	22.073972602740003
A00031272	22.167123287671
A00035363	22.172602739726
A00056898	22.221917808219
A00057786	22.241095890411
A00043649	22.243835616438
A00060302	22.331506849314998
A00050795	22.383561643836003
A00056627	22.402739726027
A00044130	22.468493150685
A00052307	22.471232876711998
A00043450	22.487671232877002
A00035879	22.545205479452
A00060169	22.635616438356
A00066087	22.671232876711997
A00027544	22.764383561644
A00073600	22.778082191781
A00066091	22.78904109589
A00044131	22.78904109589
A00066735	22.827397260274
